age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	deposit
31	blue-collar	single	primary	no	216	yes	no	unknown	21	may	565	1	-1	0	unknown	yes
34	blue-collar	married	secondary	no	1207	yes	no	unknown	21	may	905	1	-1	0	unknown	yes
32	technician	married	secondary	no	791	yes	no	unknown	21	may	783	2	-1	0	unknown	yes
36	management	married	tertiary	no	849	yes	yes	unknown	21	may	958	2	-1	0	unknown	yes
30	blue-collar	single	secondary	yes	239	yes	no	unknown	21	may	412	1	-1	0	unknown	yes
37	technician	single	secondary	no	1211	yes	no	unknown	21	may	795	1	-1	0	unknown	yes
36	blue-collar	married	primary	no	599	yes	no	unknown	21	may	649	2	-1	0	unknown	yes
31	management	single	tertiary	no	825	yes	no	unknown	21	may	506	2	-1	0	unknown	yes
27	technician	married	secondary	no	2183	yes	yes	unknown	21	may	857	1	-1	0	unknown	yes
34	retired	married	primary	no	4499	no	no	unknown	21	may	1681	1	-1	0	unknown	yes
30	technician	single	tertiary	no	1289	yes	no	unknown	21	may	1697	2	-1	0	unknown	yes
32	technician	single	tertiary	no	4665	yes	no	unknown	21	may	860	2	-1	0	unknown	yes
37	technician	single	secondary	no	3326	yes	no	unknown	21	may	799	1	-1	0	unknown	yes
32	blue-collar	married	secondary	no	783	yes	no	unknown	21	may	923	3	-1	0	unknown	yes
33	blue-collar	married	secondary	no	0	yes	no	unknown	21	may	521	3	-1	0	unknown	yes
35	blue-collar	married	primary	no	994	yes	no	unknown	23	may	1349	8	-1	0	unknown	yes
35	self-employed	divorced	tertiary	no	1354	yes	no	unknown	23	may	736	2	-1	0	unknown	yes
30	blue-collar	single	secondary	no	239	yes	no	unknown	23	may	785	1	-1	0	unknown	yes
45	blue-collar	divorced	primary	no	-311	yes	no	unknown	23	may	1030	1	-1	0	unknown	yes
45	admin.	married	secondary	no	149	yes	no	unknown	23	may	893	3	-1	0	unknown	yes
33	blue-collar	married	secondary	no	1464	yes	no	unknown	23	may	588	3	-1	0	unknown	yes
44	management	divorced	tertiary	no	5773	no	no	unknown	23	may	597	6	-1	0	unknown	yes
40	blue-collar	married	primary	no	278	yes	no	unknown	23	may	1015	3	-1	0	unknown	yes
31	blue-collar	married	secondary	no	2910	yes	no	unknown	23	may	1392	2	-1	0	unknown	yes
30	technician	married	tertiary	no	541	yes	no	unknown	26	may	414	2	-1	0	unknown	yes
44	technician	divorced	secondary	no	1262	yes	no	unknown	26	may	788	11	-1	0	unknown	yes
34	services	married	secondary	no	-538	yes	no	unknown	26	may	682	1	-1	0	unknown	yes
37	blue-collar	married	secondary	no	125	no	no	unknown	26	may	679	2	-1	0	unknown	yes
28	self-employed	single	tertiary	no	0	yes	no	unknown	26	may	1560	2	-1	0	unknown	yes
32	admin.	single	secondary	no	620	yes	no	unknown	26	may	1234	3	-1	0	unknown	yes
37	blue-collar	divorced	secondary	no	316	yes	no	unknown	26	may	642	2	-1	0	unknown	yes
34	management	married	tertiary	no	2287	yes	no	unknown	26	may	895	4	-1	0	unknown	yes
38	admin.	divorced	secondary	no	198	yes	no	unknown	26	may	431	2	-1	0	unknown	yes
28	admin.	single	secondary	no	460	yes	no	unknown	26	may	741	6	-1	0	unknown	yes
31	management	divorced	tertiary	no	1145	yes	no	unknown	26	may	1272	4	-1	0	unknown	yes
59	services	married	secondary	no	-22	yes	no	unknown	26	may	748	3	-1	0	unknown	yes
24	blue-collar	married	secondary	no	685	yes	no	unknown	26	may	896	3	-1	0	unknown	yes
26	services	single	secondary	no	901	yes	no	unknown	26	may	764	2	-1	0	unknown	yes
59	retired	single	secondary	no	351	yes	no	unknown	27	may	1063	5	-1	0	unknown	yes
30	entrepreneur	single	primary	no	0	yes	yes	unknown	27	may	1051	1	-1	0	unknown	yes
37	admin.	married	secondary	no	274	yes	no	unknown	27	may	731	3	-1	0	unknown	yes
30	admin.	single	secondary	no	-213	yes	yes	unknown	27	may	751	1	-1	0	unknown	yes
25	blue-collar	married	secondary	no	97	yes	no	unknown	27	may	709	1	-1	0	unknown	yes
44	services	divorced	secondary	no	51	yes	yes	unknown	27	may	3094	2	-1	0	unknown	yes
29	management	married	tertiary	no	314	no	no	unknown	28	may	938	2	-1	0	unknown	yes
26	management	single	tertiary	no	6840	yes	no	unknown	28	may	1560	2	-1	0	unknown	yes
26	technician	single	secondary	no	668	yes	no	unknown	28	may	576	3	-1	0	unknown	yes
27	services	single	secondary	no	54	yes	no	unknown	28	may	543	2	-1	0	unknown	yes
25	self-employed	single	secondary	no	1242	yes	no	unknown	28	may	615	2	-1	0	unknown	yes
28	management	married	secondary	no	292	yes	no	unknown	28	may	507	1	-1	0	unknown	yes
23	services	single	secondary	no	665	yes	no	unknown	28	may	1183	1	-1	0	unknown	yes
34	management	single	tertiary	no	1058	yes	no	unknown	28	may	864	2	-1	0	unknown	yes
28	student	single	secondary	no	949	yes	no	unknown	28	may	1730	1	-1	0	unknown	yes
51	entrepreneur	married	unknown	no	606	yes	no	unknown	28	may	560	9	-1	0	unknown	yes
35	blue-collar	married	secondary	no	0	yes	yes	unknown	29	may	543	1	-1	0	unknown	yes
35	admin.	married	secondary	no	404	yes	no	unknown	29	may	539	1	-1	0	unknown	yes
56	blue-collar	married	secondary	no	249	yes	no	unknown	29	may	791	2	-1	0	unknown	yes
45	unemployed	divorced	secondary	no	3354	yes	no	unknown	29	may	746	1	-1	0	unknown	yes
60	blue-collar	divorced	secondary	no	0	yes	no	unknown	29	may	1207	1	-1	0	unknown	yes
56	technician	married	secondary	no	589	yes	no	unknown	29	may	535	2	-1	0	unknown	yes
27	management	single	tertiary	no	12956	yes	no	unknown	29	may	789	3	-1	0	unknown	yes
30	admin.	married	secondary	no	873	yes	no	unknown	29	may	792	3	-1	0	unknown	yes
45	blue-collar	divorced	primary	no	594	yes	no	unknown	29	may	833	2	-1	0	unknown	yes
29	blue-collar	single	secondary	no	-20	yes	no	unknown	29	may	814	2	-1	0	unknown	yes
38	management	divorced	tertiary	no	4692	yes	no	unknown	29	may	1363	2	-1	0	unknown	yes
30	blue-collar	married	secondary	no	486	yes	no	unknown	29	may	1109	3	-1	0	unknown	yes
44	blue-collar	single	primary	no	1593	yes	no	unknown	29	may	828	3	-1	0	unknown	yes
36	management	single	tertiary	no	7606	yes	no	unknown	30	may	917	1	-1	0	unknown	yes
38	technician	married	secondary	no	226	yes	no	unknown	30	may	762	3	-1	0	unknown	yes
36	blue-collar	single	secondary	no	366	yes	yes	unknown	30	may	1133	2	-1	0	unknown	yes
37	management	divorced	secondary	no	16	yes	no	unknown	30	may	638	1	-1	0	unknown	yes
35	management	single	tertiary	no	565	yes	no	unknown	30	may	763	1	-1	0	unknown	yes
38	admin.	divorced	secondary	no	19	yes	no	unknown	30	may	604	2	-1	0	unknown	yes
40	services	married	primary	no	1082	yes	no	unknown	30	may	854	2	-1	0	unknown	yes
42	unemployed	divorced	secondary	no	1713	yes	no	unknown	30	may	855	2	-1	0	unknown	yes
46	management	divorced	tertiary	no	14481	yes	no	unknown	30	may	1269	1	-1	0	unknown	yes
35	technician	divorced	secondary	no	5724	yes	no	unknown	30	may	691	10	-1	0	unknown	yes
34	technician	divorced	secondary	no	1451	yes	no	unknown	30	may	1097	15	-1	0	unknown	yes
32	services	married	secondary	no	-34	yes	no	unknown	30	may	1236	2	-1	0	unknown	yes
50	unemployed	married	secondary	no	3674	yes	no	unknown	30	may	886	3	-1	0	unknown	yes
35	blue-collar	married	secondary	no	698	yes	yes	unknown	30	may	1343	3	-1	0	unknown	yes
36	technician	single	secondary	no	4136	yes	no	unknown	30	may	812	3	-1	0	unknown	yes
53	blue-collar	divorced	primary	no	2656	yes	no	unknown	30	may	1980	2	-1	0	unknown	yes
46	management	single	tertiary	no	2904	yes	no	unknown	30	may	984	2	-1	0	unknown	yes
26	management	single	tertiary	no	1004	yes	no	unknown	30	may	228	2	-1	0	unknown	yes
45	technician	single	secondary	no	410	yes	no	unknown	30	may	891	4	-1	0	unknown	yes
31	unemployed	divorced	primary	no	0	yes	no	unknown	30	may	745	12	-1	0	unknown	yes
29	management	single	tertiary	no	0	yes	no	unknown	30	may	539	12	-1	0	unknown	yes
53	entrepreneur	single	secondary	no	62	yes	no	unknown	30	may	1044	5	-1	0	unknown	yes
27	blue-collar	married	primary	no	416	yes	no	unknown	30	may	1193	2	-1	0	unknown	yes
39	management	married	tertiary	no	2763	yes	no	unknown	2	jun	526	2	-1	0	unknown	yes
36	services	married	secondary	no	2984	yes	no	unknown	2	jun	394	1	-1	0	unknown	yes
41	blue-collar	married	primary	no	143	yes	yes	unknown	2	jun	659	2	-1	0	unknown	yes
36	services	married	primary	no	0	yes	no	unknown	2	jun	1036	1	-1	0	unknown	yes
32	technician	married	secondary	no	696	yes	no	unknown	2	jun	815	1	-1	0	unknown	yes
35	services	married	secondary	no	152	yes	no	unknown	2	jun	563	1	-1	0	unknown	yes
36	management	single	tertiary	no	-78	yes	no	unknown	2	jun	1068	1	-1	0	unknown	yes
35	management	married	tertiary	no	867	yes	no	unknown	2	jun	230	3	-1	0	unknown	yes
30	blue-collar	single	secondary	no	953	yes	no	unknown	2	jun	747	2	-1	0	unknown	yes
42	blue-collar	married	secondary	no	443	yes	no	unknown	2	jun	671	5	-1	0	unknown	yes
42	technician	single	secondary	yes	-1129	yes	no	unknown	2	jun	555	5	-1	0	unknown	yes
32	blue-collar	married	primary	no	415	yes	no	unknown	2	jun	777	4	-1	0	unknown	yes
29	blue-collar	single	secondary	no	260	yes	no	unknown	2	jun	707	14	-1	0	unknown	yes
44	management	divorced	tertiary	yes	-411	yes	no	unknown	2	jun	432	4	-1	0	unknown	yes
32	technician	single	secondary	no	1279	yes	no	unknown	3	jun	1173	3	-1	0	unknown	yes
31	unemployed	married	secondary	no	86	yes	yes	unknown	3	jun	963	2	-1	0	unknown	yes
40	self-employed	married	secondary	yes	-754	yes	yes	unknown	3	jun	941	3	-1	0	unknown	yes
43	entrepreneur	married	secondary	no	0	no	no	unknown	3	jun	1025	7	-1	0	unknown	yes
27	management	single	secondary	no	178	yes	no	unknown	3	jun	732	2	-1	0	unknown	yes
37	services	single	secondary	no	278	yes	no	unknown	3	jun	1045	3	-1	0	unknown	yes
23	services	single	secondary	no	425	yes	no	unknown	3	jun	768	1	-1	0	unknown	yes
25	management	married	primary	no	168	yes	no	unknown	3	jun	801	1	-1	0	unknown	yes
26	blue-collar	single	secondary	yes	-36	yes	no	unknown	3	jun	482	2	-1	0	unknown	yes
47	blue-collar	divorced	primary	no	126	yes	no	unknown	3	jun	2456	2	-1	0	unknown	yes
35	admin.	married	secondary	no	-87	yes	no	unknown	3	jun	1363	7	-1	0	unknown	yes
32	technician	single	tertiary	no	6281	yes	no	unknown	3	jun	1336	4	-1	0	unknown	yes
45	management	divorced	secondary	no	644	yes	no	unknown	4	jun	633	1	-1	0	unknown	yes
30	admin.	divorced	secondary	no	377	yes	no	unknown	4	jun	524	15	-1	0	unknown	yes
29	services	single	secondary	no	-271	yes	no	unknown	4	jun	578	1	-1	0	unknown	yes
38	blue-collar	married	primary	no	5839	yes	no	unknown	4	jun	984	2	-1	0	unknown	yes
23	blue-collar	single	secondary	no	492	yes	no	unknown	4	jun	638	1	-1	0	unknown	yes
27	management	single	tertiary	no	99	yes	no	unknown	4	jun	767	2	-1	0	unknown	yes
27	management	single	tertiary	yes	-713	yes	no	unknown	4	jun	525	2	-1	0	unknown	yes
29	services	single	secondary	no	32	yes	no	unknown	4	jun	563	1	-1	0	unknown	yes
30	self-employed	married	tertiary	no	543	yes	yes	unknown	4	jun	1449	6	-1	0	unknown	yes
36	blue-collar	married	primary	no	403	yes	no	unknown	4	jun	920	1	-1	0	unknown	yes
35	admin.	divorced	secondary	no	437	yes	no	unknown	4	jun	908	1	-1	0	unknown	yes
36	blue-collar	married	secondary	no	1772	no	no	unknown	5	jun	208	1	-1	0	unknown	yes
59	retired	divorced	primary	no	-88	yes	no	unknown	5	jun	910	2	-1	0	unknown	yes
47	entrepreneur	married	secondary	no	0	no	no	unknown	5	jun	1446	1	-1	0	unknown	yes
58	entrepreneur	married	tertiary	no	853	no	no	unknown	5	jun	1149	2	-1	0	unknown	yes
37	management	single	tertiary	no	240	no	no	unknown	5	jun	1123	1	-1	0	unknown	yes
46	admin.	single	secondary	no	849	yes	no	unknown	5	jun	508	2	-1	0	unknown	yes
43	blue-collar	single	secondary	no	318	yes	no	unknown	5	jun	736	2	-1	0	unknown	yes
27	management	single	tertiary	no	703	yes	no	unknown	5	jun	590	3	-1	0	unknown	yes
38	services	divorced	secondary	no	61	no	no	unknown	5	jun	636	1	-1	0	unknown	yes
53	housemaid	married	primary	no	104	no	yes	unknown	5	jun	701	1	-1	0	unknown	yes
47	blue-collar	married	secondary	no	1996	no	no	unknown	5	jun	761	2	-1	0	unknown	yes
56	housemaid	divorced	primary	yes	1238	no	no	unknown	5	jun	1558	1	-1	0	unknown	yes
41	housemaid	married	secondary	no	879	no	no	unknown	5	jun	1053	2	-1	0	unknown	yes
29	self-employed	married	secondary	no	425	yes	no	unknown	5	jun	562	15	-1	0	unknown	yes
50	technician	married	secondary	no	416	yes	no	unknown	5	jun	494	5	-1	0	unknown	yes
45	blue-collar	divorced	primary	no	844	no	no	unknown	5	jun	1018	3	-1	0	unknown	yes
35	blue-collar	married	secondary	no	860	yes	no	unknown	5	jun	884	4	-1	0	unknown	yes
26	technician	single	secondary	no	639	yes	no	unknown	6	jun	709	5	-1	0	unknown	yes
26	admin.	married	secondary	no	710	yes	yes	unknown	6	jun	1276	2	-1	0	unknown	yes
37	blue-collar	married	unknown	no	1508	no	yes	unknown	6	jun	381	2	-1	0	unknown	yes
30	admin.	single	secondary	no	223	yes	no	unknown	6	jun	862	11	-1	0	unknown	yes
38	management	single	tertiary	no	619	yes	no	unknown	6	jun	460	4	-1	0	unknown	yes
37	services	divorced	secondary	no	319	yes	no	unknown	6	jun	467	3	-1	0	unknown	yes
53	technician	married	secondary	no	480	no	no	unknown	6	jun	648	2	-1	0	unknown	yes
29	blue-collar	single	primary	no	213	yes	no	unknown	6	jun	2653	3	-1	0	unknown	yes
35	management	single	tertiary	no	68	no	no	unknown	6	jun	1085	1	-1	0	unknown	yes
28	blue-collar	married	secondary	no	2788	yes	no	unknown	6	jun	369	2	-1	0	unknown	yes
55	blue-collar	married	unknown	no	7561	no	no	unknown	6	jun	685	3	-1	0	unknown	yes
49	management	divorced	secondary	no	-46	yes	no	unknown	9	jun	1055	10	-1	0	unknown	yes
50	services	married	secondary	no	1595	no	no	unknown	9	jun	882	1	-1	0	unknown	yes
43	management	single	tertiary	no	1046	no	no	unknown	9	jun	901	1	-1	0	unknown	yes
58	self-employed	divorced	tertiary	no	1382	no	no	unknown	9	jun	700	1	-1	0	unknown	yes
38	technician	married	primary	no	217	yes	no	unknown	9	jun	491	6	-1	0	unknown	yes
48	blue-collar	divorced	primary	no	183	no	no	unknown	9	jun	940	1	-1	0	unknown	yes
59	management	married	secondary	no	1321	no	no	unknown	9	jun	3881	3	-1	0	unknown	yes
58	blue-collar	married	secondary	no	25	no	no	unknown	9	jun	486	3	-1	0	unknown	yes
36	self-employed	single	tertiary	no	4844	no	no	unknown	9	jun	1137	3	-1	0	unknown	yes
42	entrepreneur	married	tertiary	no	5345	no	no	unknown	11	jun	878	3	-1	0	unknown	yes
41	admin.	single	secondary	no	812	no	yes	unknown	11	jun	583	4	-1	0	unknown	yes
42	admin.	married	secondary	no	105	no	no	unknown	11	jun	1159	4	-1	0	unknown	yes
39	management	married	tertiary	no	-190	no	yes	unknown	11	jun	893	8	-1	0	unknown	yes
57	housemaid	married	primary	no	625	no	yes	unknown	11	jun	867	1	-1	0	unknown	yes
52	retired	married	unknown	no	293	no	no	unknown	11	jun	706	1	-1	0	unknown	yes
59	retired	married	unknown	no	1033	no	no	unknown	11	jun	1199	1	-1	0	unknown	yes
56	blue-collar	married	secondary	no	1210	no	no	unknown	11	jun	935	1	-1	0	unknown	yes
49	management	married	tertiary	no	64	no	no	unknown	11	jun	586	1	-1	0	unknown	yes
35	blue-collar	divorced	unknown	no	164	no	no	unknown	11	jun	967	2	-1	0	unknown	yes
36	unemployed	married	secondary	no	1766	no	no	unknown	11	jun	595	2	-1	0	unknown	yes
40	admin.	single	tertiary	no	1248	no	no	unknown	11	jun	1290	2	-1	0	unknown	yes
55	blue-collar	married	secondary	no	0	no	no	unknown	12	jun	614	2	-1	0	unknown	yes
58	admin.	married	secondary	no	826	no	no	unknown	12	jun	885	1	-1	0	unknown	yes
39	self-employed	married	tertiary	no	2630	no	no	unknown	12	jun	651	5	-1	0	unknown	yes
47	housemaid	single	tertiary	no	3727	no	no	unknown	12	jun	993	6	-1	0	unknown	yes
40	management	married	secondary	no	406	yes	no	unknown	12	jun	577	2	-1	0	unknown	yes
35	blue-collar	married	tertiary	no	2999	no	no	unknown	12	jun	1141	6	-1	0	unknown	yes
48	blue-collar	married	secondary	no	1000	yes	no	unknown	12	jun	1268	2	-1	0	unknown	yes
48	management	divorced	tertiary	no	503	no	yes	unknown	12	jun	1243	7	-1	0	unknown	yes
24	blue-collar	single	secondary	yes	-203	yes	no	unknown	12	jun	465	3	-1	0	unknown	yes
49	blue-collar	married	primary	no	361	yes	no	unknown	16	jun	513	2	-1	0	unknown	yes
36	blue-collar	married	secondary	no	274	yes	no	unknown	16	jun	686	11	-1	0	unknown	yes
52	retired	divorced	tertiary	no	3687	yes	yes	unknown	16	jun	741	4	-1	0	unknown	yes
